Date,BodyMass,BodyMassIndex,DistanceWalkingRunning,StepCount,FlightsClimbed,ActiveEnergyBurned,HeartRate
2020-05-18,76.8,,,,,,
2020-05-19,76.4,,,,,,
2020-05-21,75.6,,,,,,
2020-05-25,75.5,,,,,,
2020-05-26,75.6,,,,,,
2020-05-27,74.6,,,,,,
2020-05-29,73.8,,,,,,
2020-06-01,75.6,,,,,,
2020-06-02,74.7,,,,,,
2020-06-03,74.4,,,,,,
2020-06-04,73.5,,,,,,
2020-06-05,73.3,,,,,,
2020-06-06,72.7,,,,,,
2020-06-08,73.4,28.7,,,,,
2020-06-09,73.1,28.6,,,,,
2020-06-10,72.6,28.4,,,,,
2020-06-11,72.6,28.4,,,,,
2020-06-12,72.1,28.2,,,,,
2020-06-13,72.4,28.3,,,,,
2020-06-16,72.4,28.3,,,,,
2020-06-17,72.0,28.1,,,,,
2020-06-18,71.8,28.0,,,,,
2020-06-19,71.7,28.0,,,,,
2020-07-02,71.9,28.1,,,,,
2020-07-03,71.2,27.8,,,,,
2020-07-05,71.4,27.9,,,,,
2020-07-20,70.7,27.6,,,,,
2020-07-22,70.7,27.6,,,,,
2020-07-23,70.9,27.7,,,,,
2020-07-24,70.5,27.5,,,,,
2020-07-25,70.4,27.5,,,,,
2020-07-27,69.9,27.3,,,,,
2020-07-28,70.2,27.4,,,,,
2020-07-29,70.3,27.5,,,,,
2020-07-31,70.2,27.4,,,,,
2020-08-03,70.2,27.4,,,,,
2020-08-05,70.3,27.5,,,,,
2020-08-19,69.1,27.0,,,,,
2020-11-03,72.4,28.3,,,,,
2020-12-07,72.2,28.2,,,,,
2020-12-09,74.3,29.0,,,,,
2020-12-15,72.7,28.4,,,,,
2021-07-07,78.6,30.7,,,,,
2021-07-08,77.0,30.1,,,,,
2021-07-09,77.7,30.4,,,,,
2021-07-13,,0.2,,,,,
2021-07-15,78.0,30.5,,,,,
2021-07-16,77.6,30.3,,,,,
2021-07-21,79.2,30.9,,,,,
2021-07-22,78.0,30.5,,,,,
2021-07-23,77.9,30.4,,,,,
2021-07-26,78.1,30.5,,,,,
2021-07-28,78.3,30.6,,,,,
2021-07-29,78.3,30.6,,,,,
2021-08-02,77.6,30.3,,,,,
2021-08-03,77.8,30.4,,,,,
2021-08-04,77.5,30.3,,,,,
2021-08-06,76.3,29.8,,,,,
2021-08-07,76.8,30.0,,,,,
2021-08-09,76.2,29.8,,,,,
2021-08-11,76.9,30.0,,,,,
2021-08-13,76.8,30.0,,,,,
2021-08-17,77.2,30.2,,,,,
2021-08-18,76.6,29.9,,,,,
2021-08-19,76.9,30.0,,,,,
2021-08-23,77.0,30.1,,,,,
2021-11-05,78.0,30.5,,,,,
2021-11-07,78.6,30.7,,,,,
2021-11-08,78.0,30.5,,,,,
2021-11-09,77.2,30.2,,,,,
2021-11-10,77.0,30.1,,,,,
2021-11-11,76.7,30.0,,,,,
2021-11-16,78.0,30.5,,,,,
2021-11-17,78.4,30.6,,,,,
2021-12-03,76.8,30.0,,,,,
2021-12-21,78.8,30.8,,,,,
2021-12-22,77.0,30.1,,,,,
2021-12-23,77.0,30.1,,,,,
2022-03-17,76.6,29.9,,,,,
2022-03-18,76.0,29.7,,,,,
2022-03-19,75.5,29.5,,,,,
2022-03-21,75.0,29.3,,,,,
2022-03-22,76.6,29.9,,,,,
2022-03-23,74.7,29.3,,,,,
2022-03-24,74.6,29.1,,,,,
2022-03-25,74.5,29.1,,,,,
2022-03-28,74.7,29.2,,,,,
2022-03-29,74.6,29.1,,,,,
2022-03-30,75.0,29.3,,,,,
2022-04-01,74.3,29.0,,,,,
2022-04-02,74.4,29.1,,,,,
2022-04-06,73.0,28.5,,,,,
2022-04-07,73.2,28.6,,,,,
2022-04-08,73.2,28.6,,,,,
2022-04-14,73.2,28.6,,,,,
2022-04-16,72.5,28.3,,,,,
2022-04-17,71.7,28.0,,,,,
2022-04-27,70.8,27.7,,,,,
2022-05-11,70.1,27.4,,,,,
2022-05-12,70.0,27.3,,,,,
2022-08-01,72.5,28.3,,,,,
2022-08-02,72.2,28.2,,,,,
2022-08-03,71.4,27.9,,,,,
2022-08-04,72.3,28.2,,,,,
2022-08-05,71.6,28.0,,,,,
2022-08-08,72.2,28.2,,,,,
2022-08-09,73.0,28.5,,,,,
2022-08-10,71.4,27.9,,,,,
2022-08-11,71.1,27.8,,,,,
2022-08-15,71.1,27.8,,,,,
2022-08-16,70.9,27.7,,,,,
2022-08-18,72.1,28.2,,,,,
2022-08-29,71.3,27.9,,,,,
2022-10-07,69.2,27.0,,,,,
2022-10-08,69.9,27.3,,,,,
2022-10-09,69.2,27.0,,,,,
2022-10-10,69.0,27.0,,,,,
2022-10-12,67.8,26.5,,,,,
2022-10-14,68.2,26.6,,,,,
2022-10-20,69.4,27.1,,,,,
2022-10-21,69.4,27.1,,,,,
2022-10-23,70.2,27.4,,,,,
2022-10-25,69.2,27.0,,,,,
2022-10-26,68.6,26.8,,,,,
2022-10-27,68.5,26.8,,,,,
2022-10-28,67.7,26.4,,,,,
2022-11-07,69.8,27.3,,,,,
2022-11-08,69.4,27.1,,,,,
2022-11-09,69.1,27.0,,,,,
2022-11-10,68.4,26.7,,,,,
2022-11-11,67.6,26.4,,,,,
2022-11-17,,,3.3,4659,,124.4,
2022-11-18,,,2.6,3687,,100.3,
2022-11-19,72.7,28.4,10.8,16378,,434.2,
2022-11-20,,,10.3,16823,,404.4,
2022-11-21,,,2.6,3755,,107.8,
2022-11-22,70.0,27.3,3.5,5139,,156.5,
2022-11-23,69.9,27.3,9.0,14350,,366.1,
2022-11-24,,,5.7,8273,,227.5,
2022-11-25,70.9,27.7,0.9,1564,,37.4,
2022-11-26,,,0.7,1183,,26.9,
2022-11-27,70.6,27.6,1.5,2191,,44.7,
2022-11-28,,,0.4,700,,8.6,
2022-11-29,,,1.2,1962,,43.6,
2022-11-30,69.0,27.0,3.5,5334,,136.5,
2022-12-01,,,3.3,5114,,158.6,
2022-12-02,,,2.8,4382,,104.6,
2022-12-03,,,3.4,5743,,130.0,
2022-12-04,70.0,27.3,14.9,28164,,555.7,
2022-12-05,69.1,27.0,5.1,7320,,214.4,
2022-12-06,68.7,26.8,2.4,3858,,109.4,
2022-12-07,68.8,26.9,4.3,6486,,177.8,
2022-12-08,68.3,26.7,3.5,5106,,163.5,
2022-12-09,69.2,27.0,2.8,4471,,119.5,
2022-12-10,,,21.6,33646,,901.8,
2022-12-11,,,3.3,4956,,139.8,
2022-12-12,,,4.7,7097,,211.4,
2022-12-13,,,9.3,13820,,388.0,
2022-12-14,,,6.3,9422,,271.7,
2022-12-15,,,0.0,18,,,
2022-12-16,,,0.1,90,,0.5,
2022-12-17,,,0.4,583,,13.4,
2022-12-18,,,0.4,580,,8.9,
2022-12-19,67.9,26.5,5.6,8192,,234.6,
2022-12-20,,,0.0,81,,0.1,
2022-12-21,68.2,26.7,4.7,7051,,191.8,
2022-12-22,67.6,26.4,8.7,13089,,405.3,
2022-12-23,67.3,26.3,7.7,11378,,327.9,
2022-12-24,,,7.0,10215,,334.0,
2022-12-25,68.1,26.6,9.9,13952,,446.6,
2022-12-26,,,1.9,3218,,77.9,
2022-12-27,,,3.2,5009,,130.0,
2022-12-28,,,4.6,6973,,201.9,
2022-12-29,,,4.9,7476,,206.0,
2022-12-30,,,3.8,5607,,152.9,
2022-12-31,,,2.0,3505,,69.8,
2023-01-01,,,4.6,7658,,156.3,
2023-01-02,,,6.1,9833,,227.4,
2023-01-03,,,5.9,9229,,232.0,
2023-01-04,,,2.9,4255,,127.0,
2023-01-05,,,2.1,3360,,91.2,
2023-01-06,,,8.2,12403,,342.4,
2023-01-07,,,4.5,7247,,163.4,
2023-01-08,,,6.6,11295,,257.1,
2023-01-09,,,5.3,8191,,234.5,
2023-01-10,,,4.1,5993,,184.0,
2023-01-11,,,4.0,6106,,159.3,
2023-01-12,,,1.8,2754,,67.9,
2023-01-13,,,4.7,7325,,201.2,
2023-01-14,,,6.5,10306,,269.9,
2023-01-29,70.9,27.7,,,,,
2023-03-11,72.6,28.4,,,,,
2023-03-12,72.9,28.5,,,,,
2023-03-13,71.3,27.9,,,,,
2023-03-14,71.8,28.0,,,,,
2023-03-15,71.6,28.0,2.0,,,150.0,
2023-03-16,,,0.7,,,55.0,
2023-03-25,,,5.1,,,382.0,
2023-03-27,,,3.0,,,224.0,
2023-03-28,71.5,27.9,3.0,,,224.0,
2023-03-29,,,6.0,,,447.0,
2023-03-30,70.8,27.6,2.0,,,151.0,
2023-03-31,71.0,27.7,4.0,,,299.0,
2023-04-01,71.2,27.8,5.0,,,374.0,
2023-04-02,72.7,28.4,3.1,,,235.0,
2023-04-03,71.0,27.7,,,,,
