Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2020-01-17,苹果健康,1562.0,55.1,1180.0,0.0
2020-01-18,苹果健康,108.0,1.9,82.0,0.0
2020-01-20,苹果健康,8018.0,318.3,6873.0,0.0
2020-05-19,苹果健康,2412.0,85.0,1839.0,0.0
2020-05-20,苹果健康,3957.0,145.8,2969.0,0.0
2020-05-21,苹果健康,4455.0,151.7,3360.0,0.0
2020-05-30,苹果健康,1333.0,43.7,960.0,0.0
2020-12-15,苹果健康,2043.0,76.7,1607.0,0.0
2020-12-16,苹果健康,1068.0,36.1,811.0,0.0
2021-11-25,苹果健康,5711.0,0.0,0.0,0.0
2021-11-26,苹果健康,3262.0,0.0,0.0,0.0
2021-11-27,苹果健康,22887.0,629.0,14659.0,0.0
2021-11-28,苹果健康,22911.0,653.6,13187.0,0.0
2021-11-29,苹果健康,6790.0,204.4,4719.0,0.0
2021-11-30,苹果健康,5403.0,170.8,3917.0,0.0
2021-12-01,苹果健康,12.0,0.0,0.0,0.0
2021-12-02,苹果健康,3311.0,0.0,0.0,0.0
2021-12-03,苹果健康,5885.0,103.0,2294.0,0.0
2021-12-04,苹果健康,13873.0,365.4,8297.0,0.0
2021-12-05,苹果健康,9951.0,12.7,461.0,0.0
2021-12-12,苹果健康,13408.0,385.2,8996.0,0.0
2021-12-13,苹果健康,3832.0,96.7,2240.0,0.0
2021-12-14,苹果健康,3420.0,107.1,2512.0,0.0
2021-12-19,苹果健康,5936.0,0.0,0.0,0.0
2021-12-20,苹果健康,4732.0,51.9,1186.0,0.0
2021-12-21,苹果健康,3118.0,0.0,0.0,0.0
2021-12-22,苹果健康,6036.0,155.6,3721.0,0.0
2021-12-23,苹果健康,6735.0,184.8,4003.0,0.0
2021-12-24,苹果健康,3771.0,14.6,397.0,0.0
2021-12-25,苹果健康,20597.0,615.1,13469.0,0.0
2021-12-26,苹果健康,23322.0,857.0,17134.0,0.0
2021-12-27,苹果健康,1536.0,54.4,1165.0,0.0
2022-03-15,苹果健康,5542.0,0.0,0.0,0.0
2022-03-16,苹果健康,5085.0,76.3,1765.0,0.0
